ID_1,attn_dict_common
477,"{'singapore': [0.0, 0.11789534199999999, 0.083329536], 'summit': [0.270361692, 0.027544968, 0.069564812], 'asia': [0.0, 0.05509517, 0.153280303], 'east': [0.0, 0.021334598, 0.06072728]}"
478,"{'chhattisgarh': [0.172144562, 0.8899849059999999, 0.319980651], 'air': [0.24413274199999999, 0.0, 0.113261476]}"
481,"{'sabarimala': [0.44039583200000004, 0.135066763, 0.210550755], 'yatra': [0.27504918, 0.139202252, 0.0], 'rath': [0.052988987, 0.029711312, 0.0], 'yeddyurappa': [0.165003449, 0.161395699, 0.098399915], 'flagged': [0.609513104, 0.590761244, 0.0], 'kerala': [0.16520790800000001, 0.145956054, 0.197140738], 'protest': [0.193237409, 0.24639681, 0.063086756], 'temple': [0.236282498, 0.106244616, 0.15070202900000002]}"
482,"{'list': [0.48424387, 0.250133187, 0.09170138800000001], 'candidate': [0.703638852, 0.136521161, 0.29879760699999997], 'congress': [0.40129053600000003, 0.232116148, 0.179024607], 'madhya': [0.49603971799999996, 0.046903808, 0.26043543199999997], 'pradesh': [0.18835505800000002, 0.036528923, 0.174627796]}"
483,"{'diwali': [0.336443365, 0.145017192, 0.521402001], 'modi': [0.117344238, 0.123610526, 0.08798862199999999], 'defence': [0.86024338, 0.503725469, 0.892264128], 'arunachal': [0.44225961, 0.399662763, 0.24197992699999998]}"
485,"{'diwali': [0.190297395, 0.049821652, 0.23833653300000002], 'modi': [0.056329045, 0.123610526, 0.070449583]}"
486,"{'kedarnath': [0.145098895, 0.137954697, 0.136464864], 'reconstruction': [0.18015562, 0.301788419, 0.050098515999999996], 'prayer': [0.472316325, 0.0, 0.38220465200000003], 'diwali': [0.06883745599999999, 0.049821652, 0.244602337]}"
487,"{'diwali': [0.11385907199999999, 0.049821652, 0.23833653300000002]}"
488,"{'alliance': [0.161881194, 0.112655915, 0.35755041200000004], 'karnataka': [0.18931159399999997, 0.109859377, 0.062691167]}"
489,"{'korean': [0.33636727899999996, 0.310689449, 0.31225532300000003], 'lady': [0.22377835199999999, 0.233145252, 0.09239052199999999], 'ayodhya': [0.287155241, 0.37876716299999996, 0.236879185], 'south': [0.357021838, 0.069051534, 0.225880668], 'diwali': [0.027273016, 0.144716665, 0.559555173], 'first': [0.177502319, 0.106108859, 0.133778334]}"
490,"{'shopian': [0.166770428, 0.551184177, 0.458529621], 'kashmir': [0.102130413, 0.583944201, 0.620478809], 'search': [0.093272045, 0.367547542, 0.285523832]}"
491,"{'diwali': [0.12188419, 0.145017192, 0.11967065199999999], 'celebrate': [0.15025185, 0.29522234199999997, 0.245010227], 'defence': [0.856800318, 0.503725469, 0.639628291], 'sitharaman': [0.195309624, 0.323570549, 0.22466293], 'nirmala': [0.184877619, 0.15300133800000001, 0.134103328], 'soldier': [0.313190639, 0.23631607, 0.30281034100000004], 'arunachal': [0.190854818, 0.399662763, 0.205255136], 'laomkar': [0.046958581, 0.07313086099999999, 0.08301059200000001], 'dinjan': [0.190727189, 0.203986704, 0.13084802], 'anini': [0.117428049, 0.478260666, 0.42382136], 'andra': [0.187351257, 0.208717898, 0.16244113400000001]}"
493,"{'diwali': [0.417577863, 0.655375898, 0.049398988], 'quality': [0.090049125, 0.01975009, 0.191046938], 'air': [0.12956965, 0.265962631, 0.182274297], 'burning': [0.21324330600000002, 0.177802548, 0.092346668], 'stubble': [0.11239127800000001, 0.0300704, 0.13976860000000002], 'delhi': [0.369895607, 0.176783472, 0.409462363]}"
494,"{'ayodhya': [0.608469307, 0.37876716299999996, 0.527335763], 'lady': [0.344928652, 0.233145252, 0.209601223], 'korea': [0.327573985, 0.310891777, 0.356188655], 'first': [0.100095354, 0.106108859, 0.07373166099999999], 'korean': [0.6746638420000001, 0.310689449, 0.5963292720000001], 'south': [0.184882715, 0.069051534, 0.193613216], 'kim': [0.0, 0.20673380800000002, 0.31634402300000003], 'queen': [0.351659238, 0.228196934, 0.51113826]}"
495,"{'hiphei': [0.20865415, 0.258877903, 0.459800959], 'assembly': [0.24951157, 0.067371912, 0.271927983], 'palak': [0.065817095, 0.070533663, 0.10982023199999999], 'constituency': [0.157780543, 0.08643201, 0.10272041], 'mizoram': [0.036796216, 0.091471665, 0.22846746399999998], 'speaker': [0.218229279, 0.29568865899999996, 0.39291366899999997], 'congress': [0.150570258, 0.183367521, 0.125599429]}"
496,"{'deterrence': [0.05608097099999999, 0.047127862, 0.098627329], 'patrol': [0.11280225199999999, 0.35220751200000006, 0.981130183], 'arihant': [0.411910385, 0.392494202, 0.482343405], 'in': [0.013800718, 0.019066522, 0.149276167], 'nuclear': [0.08398331, 0.21610707, 0.40868085600000004], 'triad': [0.034116805, 0.544624031, 0.9999934429999999], 'india': [0.480474174, 0.46356770399999997, 0.654414773]}"
498,"{'snowfall': [0.42439565100000004, 0.40533146299999995, 0.253532887]}"
499,"{'madhya': [0.060733359, 0.129755005, 0.06459886599999999], 'list': [0.045036938, 0.328534961, 0.20893462]}"
500,"{'modi': [0.028904641000000002, 0.160687715, 0.123898491], 'said': [0.028163412999999998, 0.045136679000000006, 0.10304871199999999]}"
501,"{'joshi': [0.107654661, 0.323805451, 0.360108793], 'ram': [0.115478225, 0.06920632, 0.0], 'temple': [0.149790064, 0.160408705, 0.07397709], 'hindu': [0.23604288699999998, 0.0, 0.34974601899999996]}"
502,"{'list': [0.225320682, 0.296517193, 0.100409977], 'candidate': [0.157275587, 0.137840986, 0.236365512], 'assembly': [0.281338841, 0.18450984399999998, 0.19625657800000001], 'telangana': [0.103616372, 0.121531449, 0.12139938]}"
503,"{'msmes': [0.060655084000000005, 0.579378307, 0.657675028], 'micro': [0.735272765, 0.49723163200000003, 0.0], 'small': [0.17035326399999998, 0.17538535600000002, 0.17301163100000003], 'support': [0.40812549, 0.0, 0.0]}"
504,"{'ulfa': [0.018961385, 0.7317631840000001, 0.07797128], 'assam': [0.23229308399999998, 0.042804695999999996, 0.32141208600000004]}"
505,"{'brother': [0.42027929399999997, 0.203760862, 0.303917676], 'parihar': [0.38559380200000004, 0.650402248, 0.21191577600000003], 'kishtwar': [0.489916444, 0.524204135, 0.25064823], 'shot': [0.477895886, 0.67662859, 0.561203301], 'town': [0.576092362, 0.122963019, 0.22939913], 'bjp': [0.668946922, 0.37967655100000003, 0.5579743979999999], 'curfew': [0.25772708699999997, 0.19151413399999997, 0.091990031], 'anil': [0.547302127, 0.488606483, 0.45949888200000005], 'leader': [0.22667497399999997, 0.11386336400000001, 0.208106205]}"
506,"{'programme': [0.589744568, 0.0, 0.0], 'support': [0.253307343, 0.0, 0.0], 'micro': [0.0, 0.49723163200000003, 0.0]}"
507,"{'ulfa': [0.343529999, 0.0, 0.07797128], 'assam': [0.541020453, 0.195857063, 0.32141208600000004], 'tinsukia': [0.0, 0.159232602, 0.102029294]}"
508,"{'air': [0.03315017, 0.11598278599999999, 0.148448661], 'quality': [0.018640961, 0.029905917, 0.021367259], 'delhi': [0.24678625199999998, 0.186007902, 0.328389049], 'stubble': [0.044190007999999996, 0.047658559, 0.015349212]}"
509,"{'terrorist': [0.318718404, 0.437469006, 0.49710801200000004], 'encounter': [0.734198809, 0.095183671, 0.3832708], 'budgam': [0.538079381, 0.0, 0.0], 'arizal': [0.447156131, 0.0, 0.542014778], 'force': [0.23984977600000001, 0.23800323899999998, 0.43483784799999997], 'area': [0.366333395, 0.0, 0.23071581100000002], 'security': [0.521438003, 0.37021520700000005, 0.06934163], 'ammunition': [0.38591080899999997, 0.297244191, 0.163556635], 'arm': [0.31721496600000004, 0.099834763, 0.068499617], 'recovered': [0.206770852, 0.367895275, 0.074932553]}"
511,"{'statue': [1.0, 0.5051497220000001, 0.218145117], 'tallest': [0.36116236399999996, 0.264740735, 0.266227007]}"
512,"{'singh': [0.10949927599999999, 0.268520087, 0.151311591]}"
513,"{'petrol': [0.518748522, 0.283730298, 0.367590636], 'diesel': [0.419333279, 0.265637338, 0.132369399], 'vat': [0.831134081, 0.39756485799999997, 0.20244400199999998], 'delhi': [0.7335851790000001, 0.112338334, 0.32032001], 'pump': [0.119496085, 0.36219987299999995, 0.40874207], 'price': [0.392048478, 0.340339929, 0.162071928], 'fuel': [0.401668221, 0.138416663, 0.30196863399999996]}"
515,"{'police': [0.258502096, 0.135376096, 0.153971642], 'memorial': [0.594629824, 0.7076641920000001, 0.883277535], 'nation': [0.095971316, 0.067958206, 0.275040656], 'policeman': [0.23142387, 0.051953677000000004, 0.0]}"
516,"{'policeman': [0.328395426, 0.051953677000000004, 0.0], 'museum': [0.694466829, 0.169602528, 0.0], 'nation': [0.400051534, 0.067958206, 0.275040656], 'duty': [0.226923168, 0.165735424, 0.118085101], 'national': [0.30256778, 0.14218533, 0.0], 'personnel': [0.26782909, 0.0, 0.222104907], 'modi': [0.292167544, 0.11815857099999999, 0.176295295]}"
517,"{'bjp': [0.766892493, 0.95265162, 0.592681885], 'jammu': [0.280475497, 0.7103105190000001, 0.07573042099999999], 'kashmir': [0.43435519899999997, 0.451943398, 0.346486896]}"
518,"{'chhattisgarh': [0.17923946699999999, 0.286502808, 0.298657715], 'assembly': [0.183468863, 0.168075874, 0.211372614], 'list': [0.335523337, 0.06255116299999999, 0.318445086]}"
519,"{'police': [0.24551332, 0.135376096, 0.153971642], 'memorial': [0.759383261, 0.7076641920000001, 0.883277535], 'nation': [0.0, 0.067958206, 0.275040656]}"
520,"{'hind': [0.59272939, 0.33860111200000004, 0.016144311], 'azad': [0.28275224600000004, 0.416513056, 0.036698036], 'bose': [0.262654573, 0.0, 0.7210432290000001], 'red': [0.646784425, 0.0, 0.143339843], 'fort': [0.337625176, 0.0, 0.046420954], 'chandra': [0.325708926, 0.0, 0.43644157100000003]}"
521,"{'hind': [0.793575048, 0.33860111200000004, 0.156816259], 'azad': [0.303955674, 0.416513056, 0.126113281], 'fort': [0.0, 0.0, 0.078387916], 'red': [0.0, 0.0, 0.248637095]}"
524,"{'railway': [0.4502514, 0.178153858, 0.267532974], 'sinha': [0.232065827, 0.0, 0.274862677], 'track': [0.627400041, 0.344414324, 0.34528586299999997]}"
525,"{'sri': [0.043532833, 0.045745257000000004, 0.046148947999999995], 'wickremesinghe': [0.22360023899999998, 0.268744498, 0.358695507], 'ranil': [0.083138481, 0.063196555, 0.066439055], 'lanka': [0.074823186, 0.787266254, 0.0], 'lankan': [0.20766352100000002, 0.12717014599999998, 0.332695842], 'minister': [0.105342321, 0.33827945600000003, 0.110986628], 'reviewed': [0.056766737000000005, 0.09781538, 0.10103479800000001]}"
526,"{'amritsar': [0.296760261, 0.35347440799999996, 0.494194984], 'punjab': [0.162244007, 0.215461493, 0.096892349], 'accident': [0.17957364, 0.167518362, 0.24261085699999999], 'injured': [0.161598653, 0.123546153, 0.0], 'train': [0.53531754, 0.23899650600000003, 0.570468903]}"
527,"{'shirdi': [0.542067885, 0.0, 0.249154285], 'temple': [0.257186472, 0.19369933, 0.123955436]}"
528,"{'accident': [0.238524333, 0.43836286700000004, 0.334773421], 'train': [0.5977092979999999, 0.7960833909999999, 0.222530797], 'punjab': [0.45117819299999995, 0.911459446, 0.43265479799999995]}"
529,"{'amritsar': [0.19107151, 0.24960763800000002, 0.012306923], 'accident': [0.174424291, 0.30512163, 0.539002299], 'train': [0.261722207, 0.0, 0.131818071], 'track': [0.6211656329999999, 0.194713131, 0.27143243]}"
530,"{'accident': [0.072183147, 0.43836286700000004, 0.334773421], 'train': [0.116206259, 0.7960833909999999, 0.222530797]}"
532,"{'chhattisgarh': [0.38854447, 0.286502808, 0.36947938799999996], 'candidate': [0.14553903, 0.590496361, 0.36380887], 'assembly': [0.22847347, 0.168075874, 0.525052011], 'list': [0.21848952800000002, 0.06255116299999999, 0.112519816], 'party': [0.10137352300000001, 0.077432282, 0.041493524], 'released': [0.45430907600000003, 0.0, 0.190151706]}"
533,"{'temple': [0.187496245, 0.0, 0.162230089], 'sabarimala': [0.241260499, 0.0, 0.273142934]}"
535,"{'state': [0.11150746, 0.17717638600000002, 0.16950291399999998], 'mizoram': [0.292132467, 0.277992964, 0.04612729], 'congress': [0.234448195, 0.17389051600000002, 0.0], 'bjp': [0.37642476, 0.295470864, 0.196509972], 'shah': [0.23970645699999998, 0.072433501, 0.259550035]}"
536,"{'terrorist': [0.41376820200000003, 0.40723913899999997, 0.095160574], 'operation': [0.165541738, 0.0, 0.167454585], 'encounter': [0.555714071, 0.226593658, 0.824129462], 'srinagar': [0.180208817, 0.32253772, 0.0], 'kamal': [0.36364182799999994, 0.112629861, 0.28624430300000003]}"
537,"{'temple': [0.557300806, 0.230194956, 0.130811185], 'sabarimala': [0.24993552300000002, 0.304440528, 0.329551339], 'woman': [0.317388922, 0.156726405, 0.134820879], 'protester': [0.061145894000000006, 0.199373364, 0.29619053], 'protest': [0.249266729, 0.129077837, 0.166200086], 'age': [0.186532289, 0.040384289, 0.110196419], 'journalist': [0.22607260899999998, 0.0, 0.199942276], 'police': [0.26741606, 0.17841363, 0.20199503]}"
538,"{'akbar': [0.11318070400000001, 0.39122203, 0.14029935], 'defamation': [0.430206388, 0.666889787, 0.09163063800000001], 'accusation': [0.10140986699999999, 0.09725216, 0.14937681], 'sexual': [0.19339305199999998, 0.22633998100000002, 0.0], 'harassment': [0.47921276100000004, 0.390833586, 0.0]}"
539,"{'encounter': [0.262929678, 0.226593658, 0.824129462], 'terrorist': [0.399543285, 0.40723913899999997, 0.095160574], 'policeman': [0.281416416, 0.618122399, 0.0], 'operation': [0.21979357300000002, 0.0, 0.167454585]}"
541,"{'shirodkar': [0.21020197899999998, 0.177073151, 0.368679911], 'goa': [0.40814161299999996, 0.481632739, 0.17566995300000002], 'sopte': [0.861373663, 0.44537329700000006, 0.070833035], 'mlas': [0.37010896200000004, 0.488275886, 0.08281844099999999], 'assembly': [0.317240447, 0.050844415999999996, 0.216864258], 'congress': [0.395351589, 0.360750467, 0.579408526], 'bjp': [0.246959805, 0.56887722, 0.258199573]}"
542,"{'ward': [0.98609376, 0.24821242699999999, 0.24711962], 'municipal': [0.417218894, 0.09082178, 0.6910558940000001], 'phase': [0.8799418809999999, 0.417567432, 0.243367329], 'body': [0.527553856, 0.649630785, 0.0], 'poll': [0.97337091, 0.8619586229999999, 0.109498464], 'kashmir': [0.559258819, 0.152732104, 0.361983716]}"
545,"{'parrikar': [0.329497069, 0.199546635, 0.253377289], 'aiims': [0.298635095, 0.786533415, 0.289906055], 'ambulance': [0.108788669, 0.0, 0.0], 'flight': [0.181529582, 0.0, 0.349716336], 'goa': [0.0, 0.34034252200000004, 0.286143959], 'flown': [0.073611453, 0.073366083, 0.280250937], 'manohar': [0.36238509399999996, 0.0, 0.335020334], 'treatment': [0.107294865, 0.245787919, 0.325603813], 'private': [0.292597294, 0.0, 0.577668369], 'residence': [0.061951078, 0.0, 0.180007041]}"
546,"{'gajapati': [0.582728803, 0.09491440699999999, 0.43730098], 'district': [0.208112419, 0.10660988099999999, 0.046502842999999995], 'cyclone': [0.18765159, 0.017556598, 0.44924721100000004], 'rayagada': [0.25397315600000003, 0.167752445, 0.050014145999999995]}"
547,"{'rescue': [0.348888665, 0.47958251799999996, 0.429537803], 'submarine': [0.28018259999999995, 0.5115534660000001, 0.512842417], 'capability': [0.0, 0.295530409, 0.0], 'navy': [0.0, 0.41164553200000004, 0.17432721], 'submergence': [0.199223965, 0.0, 0.5784384610000001], 'dsrvs': [0.140241623, 0.537186384, 0.322638333], 'sea': [0.145934805, 0.35590237399999997, 0.11878901], 'induction': [0.35358876, 0.334009558, 0.0], 'deep': [0.29652667, 0.0, 0.601464868], 'dsrv': [0.347712934, 0.168523118, 0.151199967], 'distressed': [0.0, 0.319888502, 0.30072534100000003], 'locate': [0.695948482, 0.667995453, 0.57004571]}"
548,"{'sidhu': [0.409477651, 0.40023765, 0.406794816], 'pakistan': [0.31825128199999997, 0.313048512, 0.22924138600000002], 'navjot': [0.028808838, 0.089557409, 0.137518615], 'patra': [0.291170716, 0.128848985, 0.31164988899999996], 'spokesperson': [0.298294187, 0.0, 0.538045824], 'south': [0.9999998809999999, 0.0, 0.45859825600000004]}"
549,"{'allegation': [0.218917117, 0.537427723, 0.066371784], 'akbar': [0.7710186840000001, 0.596475124, 0.269104034], 'mj': [0.262454808, 0.303701222, 0.154744506]}"
550,"{'titli': [0.255802721, 0.0, 0.225845203], 'cyclone': [0.151266068, 0.017556598, 0.19083918600000002], 'gajapati': [0.378371209, 0.09491440699999999, 0.445614815], 'rayagada': [0.331557661, 0.167752445, 0.135573417], 'district': [0.0, 0.10660988099999999, 0.107986756]}"
551,"{'uike': [0.126810327, 0.293342799, 0.148132235], 'chhattisgarh': [0.021547657, 0.533269763, 0.634768724], 'congress': [0.298322856, 0.31681218699999997, 0.246075347], 'state': [0.32415989, 0.318455845, 0.008889985999999999], 'bjp': [0.100928307, 0.082264766, 0.392805576]}"
552,"{'phase': [0.166192278, 0.10582950699999999, 0.215647712], 'urban': [0.431615323, 0.184171528, 0.16965791600000002], 'local': [0.049285605999999996, 0.155181274, 0.016528603], 'body': [0.048239484000000006, 0.017796827, 0.080471858], 'third': [0.107052013, 0.102553487, 0.11247033599999999], 'voting': [0.144791022, 0.015170302, 0.41695109]}"
554,"{'heavy': [0.279138237, 0.346663475, 0.13696867199999999], 'storm': [0.106043741, 0.17352052, 0.0], 'landfall': [0.268988371, 0.258731663, 0.253705919], 'bengal': [0.162344173, 0.476800025, 0.356624991], 'titli': [0.0, 0.516191065, 0.33117580399999996], 'coast': [0.37560597100000004, 0.51734519, 0.168210506]}"
555,"{'injured': [0.16787067100000003, 0.078969002, 0.133021638], 'farakka': [0.07670811599999999, 0.07462646099999999, 0.10815119], 'raebareli': [0.280204386, 0.49769184, 0.086578332], 'ndrf': [0.239694729, 0.08951728800000001, 0.07298576799999999], 'accident': [0.20043149600000001, 0.308053762, 0.18494004], 'railway': [0.42979601, 0.539431334, 0.476966709], 'derailed': [0.306563139, 0.039577331, 0.473514676], 'express': [0.123019487, 0.070166096, 0.122088112]}"
556,"{'zika': [0.44386640200000005, 0.937757552, 0.34438282299999995], 'virus': [0.45012929999999995, 0.456008673, 0.490341485], 'jaipur': [0.273998648, 0.199347556, 0.12282078], 'outbreak': [0.31440872, 0.224960938, 0.168917686], 'infection': [0.155397817, 0.07032506200000001, 0.14019531], 'health': [0.20086902399999998, 0.23735910699999999, 0.21594195100000002], 'ministry': [0.424697101, 0.365795165, 0.21233262100000003], 'positive': [0.045154542, 0.120765842, 0.216542184]}"
557,"{'nrc': [0.389073998, 0.493594795, 0.326040238], 'tripura': [0.0, 0.179741502, 0.0], 'immigrant': [0.679997504, 0.670307815, 0.0], 'crore': [0.160083994, 0.125536501, 0.0]}"
558,"{'air': [0.312520474, 0.7194856409999999, 0.022530545], 'aircraft': [0.807460845, 0.34737393299999997, 0.332750261], 'force': [0.0, 0.175758943, 0.035521742]}"
559,"{'uttarakhand': [0.65502125, 0.16690661, 0.283407688], 'minister': [0.39696756, 0.207910255, 0.240788251], 'investor': [0.272558302, 0.37088844200000004, 0.29067623600000003], 'modi': [0.228515372, 0.095254861, 0.194523573], 'business': [0.999754369, 0.22594724600000002, 0.258337826]}"
560,"{'ajmer': [0.02001657, 0.070856936, 0.250593424]}"
561,"{'heavy': [0.165223077, 0.151816964, 0.462914854], 'rain': [0.126757011, 0.262866974, 0.11716705599999999], 'alert': [0.12145199599999999, 0.09551757599999999, 0.507377565], 'sea': [0.137623787, 0.12162428300000001, 0.0]}"
562,"{'sea': [0.158443213, 0.12162428300000001, 0.0], 'heavy': [0.34838703299999996, 0.151816964, 0.462914854], 'arabian': [0.0, 0.40241309999999997, 0.0], 'rain': [0.23522104300000002, 0.262866974, 0.11716705599999999]}"
564,"{'bhatt': [0.16201596, 0.21973243399999998, 0.21667188399999998], 'rajpurohit': [0.23077046899999998, 0.15447139699999998, 0.107455336], 'drug': [0.098733142, 0.132117078, 0.0], 'sanjiv': [0.20158904800000002, 0.482089221, 0.18658261], 'palanpur': [0.076555893, 0.054751884, 0.0], 'court': [0.09956875400000001, 0.038924851, 0.256234437], 'ip': [0.110522151, 0.29430002, 0.11979509099999999], 'banaskantha': [0.39012652600000003, 0.11356858199999999, 0.316119432]}"
565,"{'myanmar': [0.428155303, 0.25570628, 0.400807679], 'deportation': [0.134002447, 0.34231168, 0.114509031], 'court': [0.045677512999999996, 0.324400336, 0.13712813], 'deported': [0.070214234, 0.559321761, 0.0], 'bhushan': [0.116831325, 0.047293756, 0.0]}"
566,"{'district': [0.11749382300000001, 0.187811881, 0.136832684], 'kerala': [0.274241865, 0.147869825, 0.177484542], 'red': [0.101935104, 0.378354311, 0.198886752], 'issued': [0.0, 0.305405319, 0.156149998]}"
567,"{'s400': [0.717776, 0.45224458, 0.434357613], 'putin': [0.088939898, 0.20042403, 0.979449511], 'system': [0.20336853, 1.0, 0.218127966], 'russia': [0.133015186, 0.16697894, 0.9998792409999999], 'missile': [0.24634686100000003, 0.088055842, 0.191542059], 'russian': [0.17228870100000002, 0.075880803, 0.09758643800000001], 'indiarussia': [0.196743786, 0.362203985, 0.394876391], 'defence': [0.29391014600000004, 0.058711550999999994, 0.12554152300000002], 'air': [0.10043340199999999, 0.039091392999999995, 0.10788799800000001], 'visit': [0.9999998809999999, 0.355084807, 0.311561018], 'vladimir': [0.046660922, 0.0, 0.109618127]}"
568,"{'nun': [0.715547562, 0.330194831, 0.505477726], 'bishop': [0.035564419, 0.066940978, 0.07184228299999999], 'mulakkal': [0.232434258, 0.09121459, 0.335241705], 'kuravilangad': [0.341086954, 0.341603339, 0.305908173]}"
569,"{'justice': [0.467801064, 0.9999998809999999, 0.999976277], 'gogoi': [0.45376753799999997, 0.502799809, 0.354121953], 'ranjan': [0.081351243, 0.12629737, 0.147767544], '46th': [0.0, 0.493784815, 0.0], 'chief': [0.055536630999999996, 0.09311611199999999, 0.12899112699999998]}"
570,"{'un': [0.224002093, 0.094749555, 0.396000564], 'guterres': [0.054080144000000004, 0.0, 0.20518600899999997], 'antonio': [0.142954856, 0.0, 0.203750342], 'india': [0.474081963, 0.593566418, 0.687924027]}"
571,"{'earth': [0.0, 0.521188974, 0.833624721], 'champion': [0.0, 0.012386288, 0.017359674], 'award': [0.0, 0.321490169, 0.15022853]}"
572,"{'earth': [0.0, 0.49863925600000003, 0.40040019200000004], 'champion': [0.0, 0.010415611, 0.020756766], 'un': [0.263395399, 0.150075749, 0.083189763], 'modi': [0.080123603, 0.087686174, 0.018434683], 'award': [0.0, 0.14111156800000002, 0.066880658]}"
573,"{'justice': [0.999999642, 0.9970671529999999, 0.99998939], 'gogoi': [0.19240784600000002, 0.289412946, 0.24846483800000002], 'chief': [0.040138591, 0.075280547, 0.077807881], 'ranjan': [0.06319364200000001, 0.0, 0.09113491300000001], 'sworn': [0.126844391, 0.0, 0.12606984400000001], 'india': [0.36313194, 0.393944412, 0.311895519]}"
574,"{'mahatma': [0.57980299, 0.18149823, 0.399433821], 'gandhi': [0.181135431, 0.577345848, 0.308360368], 'birth': [0.399234831, 0.44651553, 0.42323926100000003], 'anniversary': [0.24837467100000002, 0.177397236, 0.339399189]}"
576,"{'vivek': [0.169213638, 0.46162191, 0.22861942600000001], 'tiwari': [0.277973562, 0.5354655979999999, 0.33729121100000004], 'apple': [0.07877966, 0.080520935, 0.134641111], 'constable': [0.244352818, 0.22065742300000002, 0.253659666], 'family': [0.081489116, 0.06903439, 0.20758706300000002], 'lucknow': [0.117721185, 0.46147573, 0.061402261]}"
577,"{'birthday': [0.426976532, 0.105043367, 0.999867678], 'nath': [0.17246499699999998, 0.182167932, 0.090448067], 'kovind': [0.6616074439999999, 0.66132158, 0.468209594], 'ram': [0.293006063, 0.439896643, 0.227692977]}"
578,"{'gandhi': [0.160326451, 0.30506157899999997, 0.238961235]}"
579,"{'museum': [0.25569123, 0.0, 0.0], 'gandhi': [0.201616436, 0.230274603, 0.238961235], 'mahatma': [0.814412177, 0.6650247570000001, 0.295820326], 'rajkot': [0.238660276, 0.053100854, 0.0], 'modi': [0.36754134299999996, 0.303664714, 0.382106066]}"
580,"{'sanitation': [0.611604035, 0.176285565, 0.13933710800000002], 'gandhi': [0.230295539, 0.0, 0.099636041], 'world': [0.17969121, 0.083566695, 0.448065549], 'ordinance': [0.463507444, 0.123245075, 0.055900954]}"
584,"{'deal': [0.255275249, 0.098175704, 0.085512474], 'rafale': [0.232025415, 0.126911581, 0.253012419], 'aircraft': [0.24491182, 0.9999998809999999, 0.47900164100000003], 'defence': [0.89102006, 0.7985697390000001, 0.0], 'sitharaman': [0.19655509300000001, 0.0, 0.518609464]}"
585,"{'kashi': [0.12281514, 0.46089854799999996, 0.136900216], 'prime': [0.781615317, 0.50647068, 0.79638505], 'minister': [0.45764783, 0.48567006, 0.524961233]}"
586,"{'prakash': [0.022056312999999998, 0.611505389, 0.189875916], 'assault': [0.065556318, 0.760943472, 0.848094702], 'kejriwal': [0.015664995, 0.185118958, 0.113523409], 'arvind': [0.059502639, 0.01269218, 0.090965874], 'court': [0.087516248, 0.115888596, 0.157948926], 'chief': [0.236972913, 0.561212182, 0.324762672], 'anshu': [0.01848693, 0.031187332999999998, 0.016123671000000003], 'sisodia': [0.064793192, 0.18107686899999997, 0.057954744]}"
587,"{'case': [0.789369345, 0.089862131, 0.10748788], 'court': [0.089951843, 0.115888596, 0.108207546]}"
588,"{'pipeline': [0.148170575, 0.155390531, 0.35903072399999997], 'project': [0.209127903, 0.14734745, 0.226220325], 'bangladesh': [0.23847717, 0.20231801300000002, 0.157812327], 'indiabangladesh': [0.0, 0.0, 0.15820664199999998], 'construction': [0.094287291, 0.068940826, 0.071962848], 'friendship': [0.0, 0.9999983309999999, 0.055285182], 'siliguri': [0.023768745, 0.010008618, 0.013859313], 'parbatipur': [0.174325615, 0.306828618, 0.125286862]}"
589,"{'varanasi': [0.33797875, 0.457145154, 0.512192488], 'project': [0.126195669, 0.34121277899999997, 0.126786202], 'bhu': [0.11252351099999999, 0.139027566, 0.28663325300000003], 'kashi': [0.206823573, 0.11582428199999999, 0.21465042199999998], 'city': [0.026379253999999998, 0.345424861, 0.63507098]}"
590,"{'haryana': [0.039017584, 0.253339201, 0.0], 'accused': [0.6105828879999999, 0.346463203, 0.520006537]}"
591,"{'birthday': [0.077567197, 0.10532698800000001, 0.122305192], 'modi': [0.287455022, 0.09611190900000001, 0.023085732], 'pm': [0.21495917399999998, 0.41681546, 0.341844827], 'varanasi': [0.724860728, 0.180561826, 0.0], 'child': [0.202638045, 0.0, 0.118713968]}"
592,"{'kashi': [0.393577099, 0.46089854799999996, 0.21107155100000002], 'prime': [0.953585327, 0.50647068, 0.474489719], 'modi': [0.125710651, 0.477109075, 0.042004067]}"
593,"{'hi': [0.160210654, 0.573409379, 0.220951751], 'seva': [0.19824419899999998, 0.622440577, 0.190959871], 'clean': [0.216007143, 0.9999998809999999, 1.0], 'swachhata': [0.114477411, 0.990104616, 0.171842784]}"
595,"{'movement': [0.21759425100000002, 0.576904416, 0.636639893], 'pm': [0.600509405, 0.7545670870000001, 0.8029395340000001], 'cleanliness': [0.075643301, 0.0, 0.897297382], 'modi': [0.11743698300000001, 0.18057677100000002, 0.8855683209999999], 'clean': [0.9999998809999999, 0.9999998809999999, 0.962140083]}"
596,"{'cleanliness': [0.077032506, 0.0, 0.897297382], 'movement': [0.308716476, 0.576904416, 0.636639893], 'modi': [0.03671778, 0.18057677100000002, 0.8855683209999999], 'swachh': [0.135266989, 0.656477988, 0.93108952], 'bharat': [0.041187949, 0.6152153020000001, 0.84825027]}"
